source_dataset,original_class_name,canonical_class_name,crop,disease,mapping_status,mapping_confidence
integrated_v3,Pepper_Bacterial_Spot,Pepper_Bacterial_Spot,Pepper,Bacterial_Spot,EXACT_EXISTING,1.0
integrated_v3,Pepper_Cercospora_Leaf_Spot,Pepper_Cercospora_Leaf_Spot,Pepper,Cercospora_Leaf_Spot,NEW_CLASS_V3,1.0
integrated_v3,Pepper_Healthy,Pepper_Healthy,Pepper,Healthy,EXACT_EXISTING,1.0
integrated_v3,Pepper_Leaf_Curl,Pepper_Leaf_Curl,Pepper,Leaf_Curl,NEW_CLASS_V3,1.0
integrated_v3,Pepper_Nutrition_Deficiency,Pepper_Nutrition_Deficiency,Pepper,Nutrition_Deficiency,NEW_CLASS_V3,1.0
integrated_v3,Pepper_Powdery_Mildew,Pepper_Powdery_Mildew,Pepper,Powdery_Mildew,NEW_CLASS_V3,1.0
integrated_v3,Potato_Bacterial_Soft_Rot,Potato_Bacterial_Soft_Rot,Potato,Bacterial_Soft_Rot,NEW_CLASS_V3,1.0
integrated_v3,Potato_Early_Blight,Potato_Early_Blight,Potato,Early_Blight,EXACT_EXISTING,1.0
integrated_v3,Potato_Healthy,Potato_Healthy,Potato,Healthy,EXACT_EXISTING,1.0
integrated_v3,Potato_Late_Blight,Potato_Late_Blight,Potato,Late_Blight,EXACT_EXISTING,1.0
integrated_v3,Potato_Viral_Leaf_Roll,Potato_Viral_Leaf_Roll,Potato,Viral_Leaf_Roll,NEW_CLASS_V3,1.0
integrated_v3,Potato_Viral_PVX,Potato_Viral_PVX,Potato,Viral_PVX,NEW_CLASS_V3,1.0
integrated_v3,Potato_Viral_PVY,Potato_Viral_PVY,Potato,Viral_PVY,NEW_CLASS_V3,1.0
integrated_v3,Tomato_Early_Blight,Tomato_Early_Blight,Tomato,Early_Blight,EXACT_EXISTING,1.0
integrated_v3,Tomato_Healthy,Tomato_Healthy,Tomato,Healthy,EXACT_EXISTING,1.0
integrated_v3,Tomato_Late_Blight,Tomato_Late_Blight,Tomato,Late_Blight,EXACT_EXISTING,1.0
integrated_v3,Tomato_Leaf_Mold,Tomato_Leaf_Mold,Tomato,Leaf_Mold,NEW_CLASS_V3,1.0
integrated_v3,Tomato_Septoria_Leaf_Spot,Tomato_Septoria_Leaf_Spot,Tomato,Septoria_Leaf_Spot,NEW_CLASS_V3,1.0
integrated_v3,Tomato_Yellow_Leaf_Curl_Virus,Tomato_Yellow_Leaf_Curl_Virus,Tomato,Yellow_Leaf_Curl_Virus,NEW_CLASS_V3,1.0
