model,threshold,coverage,selective_accuracy,selective_risk
Model_A_Crop,0.5,0.998,0.9956,0.0044
Model_A_Crop,0.6,0.997,0.996,0.004
Model_A_Crop,0.7,0.9942,0.9966,0.0034
Model_A_Crop,0.75,0.9912,0.9972,0.0028
Model_A_Crop,0.8,0.9817,0.9973,0.0027
Model_A_Crop,0.85,0.401,0.9955,0.0045
Model_A_Crop,0.9,0.2937,0.9938,0.0062
Model_A_Crop,0.95,0.2915,0.9952,0.0048
Model_A_Crop,0.97,0.2786,0.9978,0.0022
Model_A_Crop,0.98,0.1296,0.9984,0.0016
Model_A_Crop,0.99,0.0088,1.0,0.0
Model_B_Tomato,0.7,0.9857,0.9896,0.0104
Model_B_Potato,0.7,0.986,0.9874,0.0126
Model_B_Pepper,0.7,0.9916,0.9952,0.0048
