image_path,source_dataset,true_crop,pred_crop,true_disease,pred_disease,crop_conf,disease_conf,epistemic_unc,error_type
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/14321627273_58d893c3e2_potato-plant.jpg,plantdoc,Potato,Potato,Potato_Early_Blight,Potato_Late_Blight,0.9735,0.9553,0.067,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/15hrt15a1f1.jpg,plantdoc,Potato,Potato,Potato_Early_Blight,Potato_Late_Blight,0.941,0.9527,0.071,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/AF_news_p4_p5_p6_Blight.jpg,plantdoc,Potato,Potato,Potato_Early_Blight,Potato_Late_Blight,0.9621,0.9491,0.0764,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/B2650214-Potato_leaf_blight-SPL.jpg,plantdoc,Potato,Potato,Potato_Early_Blight,Potato_Late_Blight,0.9568,0.924,0.1139,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/fac66s01h.jpg,plantdoc,Potato,Potato,Potato_Early_Blight,Potato_Late_Blight,0.9644,0.964,0.054,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf early blight/potato-blight-showing-on-potato-plant-leaves-KJ70DB.jpg,plantdoc,Potato,Potato,Potato_Early_Blight,Potato_Late_Blight,0.9582,0.9406,0.089,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf late blight/late_blight.jpg,plantdoc,Potato,Potato,Potato_Late_Blight,Potato_Early_Blight,0.8708,0.8428,0.1884,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Potato leaf late blight/potato-blight-phytophora-infestans-close-up-of-infected-leaf-top-surface-A60HXG.jpg,plantdoc,Potato,Potato,Potato_Late_Blight,Potato_Early_Blight,0.9731,0.9459,0.0812,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/bacterial-speck-tomato1x2400-275mmny.jpg,plantdoc,Tomato,Tomato,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.8652,0.8768,0.1335,DISEASE_CLASSIFICATION_ERROR
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato Early blight leaf/Early_blight_1.jpg_1376579808.jpg,plantdoc,Tomato,Potato,Tomato_Early_Blight,ROUTING_ERROR,0.8643,0.9399,0.0884,CROP_ROUTING_ERROR
