source_dataset,relative_path,filename,extension,file_size,width,height,raw_class_name,is_augmented,sha256,phash,error
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/822__roi_backremoved.jpg,822__roi_backremoved.jpg,.jpg,121149,1053,2295,PepperBell_Cercospora Leaf Spot,False,20f9cb011d5221987e396d00ac6c9b9dd1ca1b55585bf2f9b4b03e49bc056ca4,eec4941ed829c37c,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/976__roi_backremoved.jpg,976__roi_backremoved.jpg,.jpg,374232,1115,2041,PepperBell_Cercospora Leaf Spot,False,fdb55ea4d92ba803bb81d5634885dd74bd0d3e4b54d46922a835e8d28af36507,bac4c06ec33d4ed1,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/456__roi_backremoved.jpg,456__roi_backremoved.jpg,.jpg,101624,992,1933,PepperBell_Cercospora Leaf Spot,False,059a8cb760563cda1e6f674c278641bc3e3684e4178e6b6f8fe6ca7842684ca2,afe1941bca3cc9a4,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/97__roi_backremoved.jpg,97__roi_backremoved.jpg,.jpg,127829,980,1928,PepperBell_Cercospora Leaf Spot,False,82246ebe9e2b2bb74eaccad8b864afdef9a1430bc2d89f80928755e28447ec7f,ebc4941eda38c971,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/561__roi_backremoved.jpg,561__roi_backremoved.jpg,.jpg,95952,987,1927,PepperBell_Cercospora Leaf Spot,False,baec2070bab7fc160ef76159a62d63fd36682ceff724110c0387f01e7bb06e75,e9c9953ad2639625,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/25__roi_backremoved.jpg,25__roi_backremoved.jpg,.jpg,156163,1009,2228,PepperBell_Cercospora Leaf Spot,False,ba7e8f92ea06a812e160d17f1b83f18c9591737117756ab4ed05212dd03a4ef1,ae3c94b19ac0d9ce,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/1564__roi_backremoved.jpg,1564__roi_backremoved.jpg,.jpg,98170,800,1417,PepperBell_Cercospora Leaf Spot,False,2592e290ad925a23357790b8fddddb986dc48c8b553fb9304e58417431bb12b3,b8e79032cf996c58,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/281__roi_backremoved.jpg,281__roi_backremoved.jpg,.jpg,68109,744,1386,PepperBell_Cercospora Leaf Spot,False,b06e1641468638a7e13d80e3efa53c2f0566540cb3de50759219e1264925db0e,aec4941bd961833f,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/1735__roi_backremoved.jpg,1735__roi_backremoved.jpg,.jpg,51374,519,955,PepperBell_Cercospora Leaf Spot,False,ed4f04b404c903dc841116ebddb6746312c5df355a3e5060b53400248f3a7ee0,e492c76998e59963,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/1233__roi_backremoved.jpg,1233__roi_backremoved.jpg,.jpg,107318,742,1347,PepperBell_Cercospora Leaf Spot,False,d4cfc9c73e5cca6c4eaff962012745a08123e45d2802233a65e6a30f08454ebf,eec2934fca2dc930,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/161__roi_backremoved.jpg,161__roi_backremoved.jpg,.jpg,196209,1206,2287,PepperBell_Cercospora Leaf Spot,False,be02f30f1f3e314abfa995530bd3ae767b0b3feec765c999c424abf84df1a953,eec4941e9879d12d,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/551__roi_backremoved.jpg,551__roi_backremoved.jpg,.jpg,102896,1010,1844,PepperBell_Cercospora Leaf Spot,False,1d773e821e69d079d9989773865bc7bb344e74cb42db0754e3256f4764f385c1,fa91855e9b689865,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/164__roi_backremoved.jpg,164__roi_backremoved.jpg,.jpg,247096,1268,2354,PepperBell_Cercospora Leaf Spot,False,3e2b1c03494272a797838c53ffb71f2d983faa98e59301d7c160241477a6ad0a,afcd910edb394930,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/877__roi_backremoved.jpg,877__roi_backremoved.jpg,.jpg,97426,802,1453,PepperBell_Cercospora Leaf Spot,False,13104f2a76956abd2641009ed6f1967bf16db872d54a535203b9ca44b6f7832a,bb80915bcbb94d85,
bell_pepper_mendeley,PepperBell_Cercospora Leaf Spot/290__roi_backremoved.jpg,290__roi_backremoved.jpg,.jpg,96330,964,1533,PepperBell_Cercospora Leaf Spot,False,840caffc6f49b995973816e945b19f2ea6906aa9cea5404604dc0bee379842ff,fa97c35a8d788468,
