crop,class_name,test,train,val,total
Pepper,Pepper_Bacterial_Spot,368,2876,350,3594
Pepper,Pepper_Cercospora_Leaf_Spot,161,1236,159,1556
Pepper,Pepper_Healthy,158,1228,139,1525
Pepper,Pepper_Leaf_Curl,39,336,48,423
Pepper,Pepper_Nutrition_Deficiency,46,354,44,444
Pepper,Pepper_Powdery_Mildew,16,162,17,195
Pepper,Pepper_Unknown,3,50,9,62
Potato,Potato_Bacterial_Soft_Rot,0,4,3,7
Potato,Potato_Early_Blight,256,2201,286,2743
Potato,Potato_Healthy,109,947,115,1171
Potato,Potato_Late_Blight,237,2017,285,2539
Potato,Potato_Viral_Leaf_Roll,1,30,2,33
Potato,Potato_Viral_PVX,1,5,0,6
Potato,Potato_Viral_PVY,1,1,0,2
Tomato,Tomato_Bacterial_Spot,420,3136,386,3942
Tomato,Tomato_Curl,178,1521,194,1893
Tomato,Tomato_Early_Blight,324,2458,312,3094
Tomato,Tomato_Fusarium_Wilt,48,303,56,407
Tomato,Tomato_Healthy,354,2899,332,3585
Tomato,Tomato_Late_Blight,385,2771,320,3476
Tomato,Tomato_Leaf_Mold,10,129,12,151
Tomato,Tomato_Miner,199,1495,203,1897
Tomato,Tomato_Mold,317,2349,287,2953
Tomato,Tomato_Mosaic_Virus,46,332,49,427
Tomato,Tomato_Septoria,341,2819,361,3521
Tomato,Tomato_Septoria_Leaf_Spot,8,70,7,85
Tomato,Tomato_Spider_Mites,191,1912,210,2313
Tomato,Tomato_Target_Spot,137,1128,139,1404
Tomato,Tomato_Unknown,6,52,5,63
Tomato,Tomato_Verticillium_Wilt,55,416,54,525
Tomato,Tomato_Yellow_Curl_Virus,540,4333,560,5433
Tomato,Tomato_Yellow_Leaf_Curl_Virus,1,38,9,48
