crop,image_path,source_dataset,domain,true_disease,predicted_disease,confidence,epistemic_uncertainty
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_early_blight/tomato_187.jpg,plantcity,Lab,Tomato_Early_Blight,Tomato_Leaf_Mold,0.4837,0.2104
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_septoria_leaf/tomato_309.jpg,plantcity,Lab,Tomato_Septoria_Leaf_Spot,Tomato_Fusarium_Wilt,0.9439,0.0608
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato spider mites/tomato_457.jpg,plantcity,Lab,Tomato_Spider_Mites,Tomato_Leaf_Mold,0.8319,0.1788
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato spider mites/tomato_494.jpg,plantcity,Lab,Tomato_Spider_Mites,Tomato_Septoria_Leaf_Spot,0.4911,0.3799
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato verticillium wilt/tomato_094.jpg,plantcity,Lab,Tomato_Verticillium_Wilt,Tomato_Late_Blight,0.6372,0.1456
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/test/Tomato leaf bacterial spot/Bacterial_spots563.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Early_Blight,0.5574,0.3516
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/30290.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.5169,0.5228
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/Bacterial+Speck+-+Tomatoes.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.4528,0.5914
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/Bacterial+Spot+-+Tomatoes.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.0769,1.0
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/Figure-1-6.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.6346,0.3958
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/Leaf%2Bsymptoms%2BMDA.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Late_Blight,0.0774,0.9995
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/Tomato%20greenhouse%20phythotoxicity03F.JPG.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Yellow_Leaf_Curl_Virus,0.0771,0.9997
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/bacterial-speck-tomato1x2400-275mmny.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.8769,0.1333
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/bc34aec4ea7f60a64e380fda44c2f380.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.6209,0.4107
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/clothes014.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Leaf_Mold,0.859,0.1527
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/leaf-spot3-big.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.332,0.7195
Tomato,/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantdoc/train/Tomato leaf bacterial spot/photo-1.jpg,plantdoc,Lab,Tomato_Bacterial_Spot,Tomato_Septoria_Leaf_Spot,0.1542,0.9163
