epoch,stage,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,mean_val_uncertainty,learning_rate_backbone,learning_rate_head,generalization_gap,diagnostic_state
1,STAGE_1_HEAD_WARMUP,2.0534,1.906,0.5629,0.5981,0.5233,0.5162,0.502,0.0,0.001,0.0071,HEALTHY
2,STAGE_1_HEAD_WARMUP,1.6649,1.8095,0.6516,0.6207,0.6022,0.5261,0.4914,0.0,0.001,0.0761,HEALTHY
3,STAGE_1_HEAD_WARMUP,1.5608,1.7821,0.6825,0.633,0.6332,0.5368,0.4977,0.0,0.001,0.0964,HEALTHY
4,STAGE_2_FINE_TUNING,0.7026,0.4907,0.8989,0.9388,0.8768,0.9154,0.2127,0.0001,0.001,-0.0386,HEALTHY
5,STAGE_2_FINE_TUNING,0.3096,0.2419,0.9666,0.976,0.9593,0.9686,0.1412,0.0001,0.001,-0.0093,HEALTHY
6,STAGE_2_FINE_TUNING,0.24,0.1901,0.9751,0.9797,0.97,0.973,0.1122,0.0001,0.001,-0.003,HEALTHY
7,STAGE_2_FINE_TUNING,0.1952,0.1732,0.9814,0.9823,0.9763,0.9769,0.0959,0.0001,0.001,-0.0005,HEALTHY
8,STAGE_2_FINE_TUNING,0.1698,0.1656,0.9848,0.9828,0.9808,0.982,0.0839,0.0001,0.001,-0.0012,HEALTHY
9,STAGE_2_FINE_TUNING,0.1592,0.1641,0.9855,0.9817,0.9826,0.9756,0.0743,0.0001,0.001,0.007,HEALTHY
10,STAGE_2_FINE_TUNING,0.1463,0.1832,0.9863,0.9826,0.9834,0.9777,0.0676,0.0001,0.001,0.0057,HEALTHY
11,STAGE_2_FINE_TUNING,0.14,0.165,0.9883,0.9817,0.9853,0.976,0.0607,0.0001,0.001,0.0093,HEALTHY
12,STAGE_2_FINE_TUNING,0.1239,0.1705,0.9892,0.9811,0.9871,0.9749,0.0547,5e-05,0.0005,0.0123,HEALTHY
13,STAGE_2_FINE_TUNING,0.1082,0.154,0.9916,0.9837,0.9897,0.9802,0.0526,5e-05,0.0005,0.0095,EARLY_STOPPING
