image_path,crop,class,split,domain,width,height,candidate_count,selected_mask_area_pct,stability_score,predicted_iou,centroid_x,centroid_y,norm_centroid_dist,strat_a_success,strat_b_success,strat_c_success,selection_strategy,quality_category,retry_used,final_status
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_healthy_leaf/tomato_315.jpg,Tomato,Tomato_Healthy,test,Laboratory,800,1200,1,63.21,0.9513,0.9304,399,599,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_leaf_curl/tomato_1448.jpg,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,1200,800,2,63.89,0.9517,0.9309,600,399,0.0018,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_septoria_leaf/tomato_984.jpg,Tomato,Tomato_Septoria_Leaf_Spot,test,Laboratory,1200,800,1,61.53,0.9504,0.929,599,399,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Septoria_leaf_spot/0176f68f-a3d8-473b-9bea-c075a5507b34___JR_Sept.L.S 2504.JPG,Tomato,Tomato_Septoria_Leaf_Spot,test,Laboratory,256,256,20,26.02,0.924,0.8948,122,137,0.0598,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Late_blight/47614fe0-26d7-4259-a78b-5b8db71f7eed___RS_Late.B 4976.JPG,Tomato,Tomato_Late_Blight,test,Laboratory,256,256,61,38.88,0.9246,0.9012,120,112,0.0988,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___healthy/a4dea30d-6551-4107-bba6-1390e74b6b0b___GH_HL Leaf 261.1.JPG,Tomato,Tomato_Healthy,test,Laboratory,256,256,7,32.22,0.924,0.8977,124,142,0.0804,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/7c253e30-e121-4c44-be3a-53f121104f77___YLCV_NREC 2818.JPG,Tomato,Tomato_Yellow_Leaf_Curl_Virus,test,Laboratory,256,256,9,31.74,0.9322,0.9029,124,130,0.0247,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantvillage/raw/color/Tomato___Bacterial_spot/badeca64-87ed-439a-b373-b4b872dbe173___GCREC_Bact.Sp 6219.JPG,Tomato,Tomato_Bacterial_Spot,test,Laboratory,256,256,11,47.84,0.9413,0.9165,125,129,0.0175,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_early_blight/tomato_393.jpg,Tomato,Tomato_Early_Blight,test,Laboratory,800,1200,1,63.66,0.9515,0.9307,400,598,0.0024,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
/home/hammad/Desktop/project zari - experimental/ml_pipeline/data/raw/plantcity/train/train/tomato_leaf_miner/tomato_735.jpg,Tomato,Tomato_Miner,test,Laboratory,800,1200,1,64.0,0.9517,0.931,399,599,0.0021,True,True,True,Strategy C (Combined),A. GOOD PRIMARY LEAF MASK,NONE,ACCEPT
