epoch,stage,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,mean_val_uncertainty,learning_rate_backbone,learning_rate_head,generalization_gap,diagnostic_state
1,STAGE_1_HEAD_WARMUP,1.2779,0.9149,0.8797,0.9387,0.8268,0.9191,0.3974,0.0,0.001,-0.0923,HEALTHY
2,STAGE_1_HEAD_WARMUP,0.8313,0.7183,0.9435,0.9519,0.9308,0.9371,0.3829,0.0,0.001,-0.0063,HEALTHY
3,STAGE_1_HEAD_WARMUP,0.6956,0.6247,0.9543,0.9543,0.9459,0.9382,0.3603,0.0,0.001,0.0077,HEALTHY
4,STAGE_2_FINE_TUNING,0.1644,0.0647,0.9842,0.9916,0.977,0.9933,0.0474,0.0001,0.001,-0.0164,HEALTHY
5,STAGE_2_FINE_TUNING,0.0666,0.0549,0.9932,0.9916,0.9923,0.9949,0.0369,0.0001,0.001,-0.0026,HEALTHY
6,STAGE_2_FINE_TUNING,0.062,0.0551,0.9935,0.9928,0.9941,0.9927,0.035,0.0001,0.001,0.0015,HEALTHY
7,STAGE_2_FINE_TUNING,0.0536,0.0471,0.994,0.9952,0.9947,0.997,0.0318,0.0001,0.001,-0.0023,HEALTHY
8,STAGE_2_FINE_TUNING,0.0421,0.0394,0.9971,0.9952,0.9975,0.9956,0.0293,0.0001,0.001,0.0019,HEALTHY
9,STAGE_2_FINE_TUNING,0.038,0.0432,0.9971,0.994,0.9976,0.9949,0.0268,0.0001,0.001,0.0027,HEALTHY
10,STAGE_2_FINE_TUNING,0.0325,0.0358,0.9982,0.9976,0.9987,0.9985,0.025,0.0001,0.001,0.0002,HEALTHY
11,STAGE_2_FINE_TUNING,0.0326,0.0425,0.998,0.9964,0.9984,0.9978,0.0241,0.0001,0.001,0.0006,HEALTHY
12,STAGE_2_FINE_TUNING,0.0299,0.0447,0.9986,0.9952,0.9983,0.9918,0.0234,0.0001,0.001,0.0065,HEALTHY
13,STAGE_2_FINE_TUNING,0.0437,0.0894,0.9977,0.9916,0.9955,0.9764,0.0221,5e-05,0.0005,0.0191,HEALTHY
14,STAGE_2_FINE_TUNING,0.0227,0.0401,0.9997,0.9964,0.9998,0.9978,0.0212,5e-05,0.0005,0.002,HEALTHY
15,STAGE_2_FINE_TUNING,0.0239,0.0458,0.9991,0.9952,0.9992,0.997,0.0206,5e-05,0.0005,0.0022,EARLY_STOPPING
