epoch,stage,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,mean_val_uncertainty,learning_rate_backbone,learning_rate_head,generalization_gap,diagnostic_state
1,STAGE_1_HEAD_WARMUP,0.9673,0.7412,0.7737,0.8742,0.7603,0.8596,0.3564,0.0,0.001,-0.0994,HEALTHY
2,STAGE_1_HEAD_WARMUP,0.6874,0.6254,0.8683,0.8944,0.8596,0.8822,0.3214,0.0,0.001,-0.0226,HEALTHY
3,STAGE_1_HEAD_WARMUP,0.5931,0.5562,0.8883,0.9099,0.8797,0.9012,0.3072,0.0,0.001,-0.0214,HEALTHY
4,STAGE_2_FINE_TUNING,0.1553,0.0969,0.967,0.9752,0.9686,0.9774,0.0415,0.0001,0.001,-0.0088,HEALTHY
5,STAGE_2_FINE_TUNING,0.0818,0.101,0.9822,0.9705,0.9844,0.9736,0.0307,0.0001,0.001,0.0108,HEALTHY
6,STAGE_2_FINE_TUNING,0.0717,0.0996,0.986,0.9736,0.9874,0.9739,0.0274,0.0001,0.001,0.0135,HEALTHY
7,STAGE_2_FINE_TUNING,0.0697,0.0657,0.9858,0.9814,0.9869,0.9848,0.0277,0.0001,0.001,0.002,HEALTHY
8,STAGE_2_FINE_TUNING,0.0701,0.0563,0.9837,0.9845,0.9858,0.9874,0.0265,0.0001,0.001,-0.0016,HEALTHY
9,STAGE_2_FINE_TUNING,0.0528,0.0781,0.9893,0.9767,0.9902,0.9778,0.0237,0.0001,0.001,0.0124,HEALTHY
10,STAGE_2_FINE_TUNING,0.0522,0.1289,0.9907,0.9674,0.9914,0.9687,0.0211,0.0001,0.001,0.0227,HEALTHY
11,STAGE_2_FINE_TUNING,0.0416,0.0922,0.9915,0.9783,0.9921,0.9799,0.0194,5e-05,0.0005,0.0122,HEALTHY
12,STAGE_2_FINE_TUNING,0.0329,0.093,0.9953,0.9767,0.9957,0.9787,0.0182,5e-05,0.0005,0.017,HEALTHY
13,STAGE_2_FINE_TUNING,0.0254,0.0743,0.9967,0.9814,0.997,0.984,0.0179,5e-05,0.0005,0.013,EARLY_STOPPING
