epoch,stage,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,mean_val_uncertainty,learning_rate_backbone,learning_rate_head,generalization_gap,diagnostic_state
1,STAGE_1_HEAD_WARMUP,1.9931,1.6064,0.533,0.6399,0.4813,0.5986,0.4207,0.0,0.001,-0.1173,HEALTHY
2,STAGE_1_HEAD_WARMUP,1.6101,1.4399,0.6645,0.7174,0.6107,0.6761,0.4341,0.0,0.001,-0.0654,HEALTHY
3,STAGE_1_HEAD_WARMUP,1.5038,1.3663,0.7035,0.7623,0.6506,0.7106,0.4398,0.0,0.001,-0.06,HEALTHY
4,STAGE_2_FINE_TUNING,0.608,0.4239,0.9058,0.9339,0.8819,0.9293,0.1244,0.0001,0.001,-0.0474,HEALTHY
5,STAGE_2_FINE_TUNING,0.3496,0.2806,0.951,0.9634,0.9398,0.9503,0.1009,0.0001,0.001,-0.0105,HEALTHY
6,STAGE_2_FINE_TUNING,0.2901,0.2737,0.9614,0.9625,0.9542,0.9566,0.0798,0.0001,0.001,-0.0023,HEALTHY
7,STAGE_2_FINE_TUNING,0.2584,0.2164,0.9678,0.9705,0.9611,0.9663,0.0763,0.0001,0.001,-0.0052,HEALTHY
8,STAGE_2_FINE_TUNING,0.251,0.2097,0.969,0.9748,0.9639,0.9708,0.0603,0.0001,0.001,-0.0069,HEALTHY
9,STAGE_2_FINE_TUNING,0.2453,0.245,0.9711,0.9714,0.9661,0.9688,0.0598,0.0001,0.001,-0.0027,HEALTHY
10,STAGE_2_FINE_TUNING,0.2284,0.2912,0.9739,0.9651,0.9688,0.9565,0.0537,0.0001,0.001,0.0123,HEALTHY
11,STAGE_2_FINE_TUNING,0.215,0.1798,0.9742,0.9777,0.9692,0.9757,0.0565,0.0001,0.001,-0.0065,HEALTHY
12,STAGE_2_FINE_TUNING,0.1998,0.2453,0.9775,0.97,0.9725,0.9617,0.0542,0.0001,0.001,0.0107,HEALTHY
13,STAGE_2_FINE_TUNING,0.1878,0.1853,0.9781,0.9777,0.9753,0.9735,0.0463,0.0001,0.001,0.0018,HEALTHY
14,STAGE_2_FINE_TUNING,0.197,0.1891,0.9763,0.976,0.973,0.9727,0.0481,5e-05,0.0005,0.0002,HEALTHY
15,STAGE_2_FINE_TUNING,0.1332,0.1572,0.9849,0.98,0.9833,0.9754,0.0426,5e-05,0.0005,0.0079,HEALTHY
16,STAGE_2_FINE_TUNING,0.1274,0.1694,0.9857,0.9805,0.9839,0.9774,0.0396,5e-05,0.0005,0.0065,HEALTHY
17,STAGE_2_FINE_TUNING,0.1157,0.1578,0.9878,0.9803,0.9858,0.9759,0.0393,5e-05,0.0005,0.0099,HEALTHY
18,STAGE_2_FINE_TUNING,0.1075,0.174,0.9883,0.9814,0.9866,0.977,0.0361,2.5e-05,0.00025,0.0096,HEALTHY
19,STAGE_2_FINE_TUNING,0.0911,0.166,0.9905,0.982,0.989,0.979,0.0362,2.5e-05,0.00025,0.0099,HEALTHY
20,STAGE_2_FINE_TUNING,0.0886,0.1602,0.9916,0.982,0.9899,0.9781,0.0356,2.5e-05,0.00025,0.0118,HEALTHY
